GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",282600,17316
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",330400,36432
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",435700,78764
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",601000,111063
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",577800,53551
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",895100,62850
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",425500,42230
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",456300,57225
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",665500,147630
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",626400,101150
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",630900,99681
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",363000,28396
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",374000,39807
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",294300,103385
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",492100,98262
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",485800,45122
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",581000,32570
1400000US53033008900,53033008900,"Census Tract 89, King County, Washington",534400,104183
1400000US53033009000,53033009000,"Census Tract 90, King County, Washington",364700,31782
1400000US53033009100,53033009100,"Census Tract 91, King County, Washington",275000,25279
1400000US53033009200,53033009200,"Census Tract 92, King County, Washington",538200,176160
1400000US53033009300,53033009300,"Census Tract 93, King County, Washington",448800,30913
1400000US53033009400,53033009400,"Census Tract 94, King County, Washington",446900,52443
1400000US53033009500,53033009500,"Census Tract 95, King County, Washington",695600,75193
1400000US53033009600,53033009600,"Census Tract 96, King County, Washington",699600,44862
1400000US53033009701,53033009701,"Census Tract 97.01, King County, Washington",649200,55297
1400000US53033009702,53033009702,"Census Tract 97.02, King County, Washington",568700,32755
1400000US53033009800,53033009800,"Census Tract 98, King County, Washington",556500,29156
1400000US53033009900,53033009900,"Census Tract 99, King County, Washington",368300,26857
1400000US53033010001,53033010001,"Census Tract 100.01, King County, Washington",425600,37446
1400000US53033010002,53033010002,"Census Tract 100.02, King County, Washington",431000,33457
1400000US53033010100,53033010100,"Census Tract 101, King County, Washington",486000,35617
1400000US53033010200,53033010200,"Census Tract 102, King County, Washington",520700,45545
1400000US53033010300,53033010300,"Census Tract 103, King County, Washington",389900,30184
1400000US53033010401,53033010401,"Census Tract 104.01, King County, Washington",373900,20754
1400000US53033010402,53033010402,"Census Tract 104.02, King County, Washington",367900,14785
1400000US53033010500,53033010500,"Census Tract 105, King County, Washington",502700,51834
1400000US53033010600,53033010600,"Census Tract 106, King County, Washington",573300,39489
1400000US53033010701,53033010701,"Census Tract 107.01, King County, Washington",371600,51260
1400000US53033010702,53033010702,"Census Tract 107.02, King County, Washington",377300,31724
1400000US53033010800,53033010800,"Census Tract 108, King County, Washington",374000,22841
1400000US53033010900,53033010900,"Census Tract 109, King County, Washington",341900,26482
1400000US53033011001,53033011001,"Census Tract 110.01, King County, Washington",341000,31101
1400000US53033011002,53033011002,"Census Tract 110.02, King County, Washington",353500,18142
1400000US53033011101,53033011101,"Census Tract 111.01, King County, Washington",349900,20170
1400000US53033011102,53033011102,"Census Tract 111.02, King County, Washington",524800,61402
1400000US53033011200,53033011200,"Census Tract 112, King County, Washington",287100,17972
1400000US53033011300,53033011300,"Census Tract 113, King County, Washington",338200,24415
1400000US53033011401,53033011401,"Census Tract 114.01, King County, Washington",333400,28756
1400000US53033011402,53033011402,"Census Tract 114.02, King County, Washington",298300,24920
1400000US53033011500,53033011500,"Census Tract 115, King County, Washington",410600,22131
1400000US53033011600,53033011600,"Census Tract 116, King County, Washington",635000,31643
1400000US53033011700,53033011700,"Census Tract 117, King County, Washington",338600,22323
1400000US53033011800,53033011800,"Census Tract 118, King County, Washington",354100,25011
1400000US53033011900,53033011900,"Census Tract 119, King County, Washington",361000,28510
1400000US53033012000,53033012000,"Census Tract 120, King County, Washington",412500,28019
1400000US53033012100,53033012100,"Census Tract 121, King County, Washington",538700,63705
1400000US53033020100,53033020100,"Census Tract 201, King County, Washington",606000,53967
1400000US53033020200,53033020200,"Census Tract 202, King County, Washington",475200,42320
1400000US53033020300,53033020300,"Census Tract 203, King County, Washington",375700,28981
1400000US53033020401,53033020401,"Census Tract 204.01, King County, Washington",335900,13223
1400000US53033020402,53033020402,"Census Tract 204.02, King County, Washington",426800,22374
1400000US53033020500,53033020500,"Census Tract 205, King County, Washington",326900,25477
1400000US53033020600,53033020600,"Census Tract 206, King County, Washington",379600,19978
1400000US53033020700,53033020700,"Census Tract 207, King County, Washington",356000,17374
1400000US53033020800,53033020800,"Census Tract 208, King County, Washington",536000,51244
1400000US53033020900,53033020900,"Census Tract 209, King County, Washington",405900,37307
1400000US53033021000,53033021000,"Census Tract 210, King County, Washington",363200,19394
1400000US53033021100,53033021100,"Census Tract 211, King County, Washington",392600,28886
1400000US53033021300,53033021300,"Census Tract 213, King County, Washington",509200,71091
1400000US53033021400,53033021400,"Census Tract 214, King County, Washington",477400,17701
1400000US53033021500,53033021500,"Census Tract 215, King County, Washington",557900,27449
1400000US53033021600,53033021600,"Census Tract 216, King County, Washington",458100,25240
1400000US53033021700,53033021700,"Census Tract 217, King County, Washington",442800,33405
1400000US53033021802,53033021802,"Census Tract 218.02, King County, Washington",484800,49976
1400000US53033021803,53033021803,"Census Tract 218.03, King County, Washington",453300,26962
1400000US53033021804,53033021804,"Census Tract 218.04, King County, Washington",427600,33407
1400000US53033021903,53033021903,"Census Tract 219.03, King County, Washington",436300,24387
1400000US53033021904,53033021904,"Census Tract 219.04, King County, Washington",440100,28649
1400000US53033021905,53033021905,"Census Tract 219.05, King County, Washington",347100,28038
1400000US53033021906,53033021906,"Census Tract 219.06, King County, Washington",438400,60395
1400000US53033022001,53033022001,"Census Tract 220.01, King County, Washington",472300,71019
1400000US53033022003,53033022003,"Census Tract 220.03, King County, Washington",405500,25952
1400000US53033022005,53033022005,"Census Tract 220.05, King County, Washington",353600,53786
1400000US53033022006,53033022006,"Census Tract 220.06, King County, Washington",440200,38842
1400000US53033022101,53033022101,"Census Tract 221.01, King County, Washington",483000,28588
1400000US53033022102,53033022102,"Census Tract 221.02, King County, Washington",495500,35383
1400000US53033022201,53033022201,"Census Tract 222.01, King County, Washington",424100,25726
1400000US53033022202,53033022202,"Census Tract 222.02, King County, Washington",402800,29573
1400000US53033022203,53033022203,"Census Tract 222.03, King County, Washington",611900,29935
1400000US53033022300,53033022300,"Census Tract 223, King County, Washington",735400,55799
1400000US53033022400,53033022400,"Census Tract 224, King County, Washington",794000,71525
1400000US53033022500,53033022500,"Census Tract 225, King County, Washington",661600,39740
1400000US53033022603,53033022603,"Census Tract 226.03, King County, Washington",555400,47181
1400000US53033022604,53033022604,"Census Tract 226.04, King County, Washington",566300,39273
1400000US53033022605,53033022605,"Census Tract 226.05, King County, Washington",481800,74793
1400000US53033022606,53033022606,"Census Tract 226.06, King County, Washington",535200,42721
1400000US53033022701,53033022701,"Census Tract 227.01, King County, Washington",869600,99233
1400000US53033022702,53033022702,"Census Tract 227.02, King County, Washington",876200,38506
1400000US53033022703,53033022703,"Census Tract 227.03, King County, Washington",714400,44185
1400000US53033022801,53033022801,"Census Tract 228.01, King County, Washington",616100,245083
1400000US53033022802,53033022802,"Census Tract 228.02, King County, Washington",550000,33033
1400000US53033022803,53033022803,"Census Tract 228.03, King County, Washington",781700,75728
1400000US53033022901,53033022901,"Census Tract 229.01, King County, Washington",591600,34246
1400000US53033022902,53033022902,"Census Tract 229.02, King County, Washington",661100,27445
1400000US53033023000,53033023000,"Census Tract 230, King County, Washington",643100,32411
1400000US53033023100,53033023100,"Census Tract 231, King County, Washington",605900,28874
1400000US53033023201,53033023201,"Census Tract 232.01, King County, Washington",492700,87212
1400000US53033023202,53033023202,"Census Tract 232.02, King County, Washington",412200,107578
1400000US53033023300,53033023300,"Census Tract 233, King County, Washington",497400,51658
1400000US53033023401,53033023401,"Census Tract 234.01, King County, Washington",497700,41966
1400000US53033023403,53033023403,"Census Tract 234.03, King County, Washington",628800,37834
1400000US53033023404,53033023404,"Census Tract 234.04, King County, Washington",657900,35927
1400000US53033023500,53033023500,"Census Tract 235, King County, Washington",719400,54397
1400000US53033023601,53033023601,"Census Tract 236.01, King County, Washington",570500,77545
1400000US53033023603,53033023603,"Census Tract 236.03, King County, Washington",618600,68466
1400000US53033023604,53033023604,"Census Tract 236.04, King County, Washington",494000,50389
1400000US53033023700,53033023700,"Census Tract 237, King County, Washington",807200,58439
1400000US53033023801,53033023801,"Census Tract 238.01, King County, Washington",644600,73743
1400000US53033023803,53033023803,"Census Tract 238.03, King County, Washington",612600,174793
1400000US53033023804,53033023804,"Census Tract 238.04, King County, Washington",551400,97540
1400000US53033023900,53033023900,"Census Tract 239, King County, Washington",1062500,89024
1400000US53033024000,53033024000,"Census Tract 240, King County, Washington",901000,86331
1400000US53033024100,53033024100,"Census Tract 241, King County, Washington",1769700,113477
1400000US53033024200,53033024200,"Census Tract 242, King County, Washington",1692700,213896
1400000US53033024300,53033024300,"Census Tract 243, King County, Washington",959300,96775
1400000US53033024400,53033024400,"Census Tract 244, King County, Washington",878100,163901
1400000US53033024500,53033024500,"Census Tract 245, King County, Washington",981400,43912
1400000US53033024601,53033024601,"Census Tract 246.01, King County, Washington",1104400,52270
1400000US53033024602,53033024602,"Census Tract 246.02, King County, Washington",1217100,101007
1400000US53033024701,53033024701,"Census Tract 247.01, King County, Washington",560900,46643
1400000US53033024702,53033024702,"Census Tract 247.02, King County, Washington",575800,28871
1400000US53033024800,53033024800,"Census Tract 248, King County, Washington",469200,41411
1400000US53033024901,53033024901,"Census Tract 249.01, King County, Washington",863700,27272
1400000US53033024902,53033024902,"Census Tract 249.02, King County, Washington",714800,38253
1400000US53033024903,53033024903,"Census Tract 249.03, King County, Washington",873900,39887
1400000US53033025001,53033025001,"Census Tract 250.01, King County, Washington",584400,17697
1400000US53033025003,53033025003,"Census Tract 250.03, King County, Washington",929900,60637
1400000US53033025005,53033025005,"Census Tract 250.05, King County, Washington",752000,51431
1400000US53033025006,53033025006,"Census Tract 250.06, King County, Washington",710400,60784
1400000US53033025101,53033025101,"Census Tract 251.01, King County, Washington",433800,29067
1400000US53033025102,53033025102,"Census Tract 251.02, King County, Washington",439900,22441
1400000US53033025200,53033025200,"Census Tract 252, King County, Washington",345700,20476
1400000US53033025301,53033025301,"Census Tract 253.01, King County, Washington",468300,54972
1400000US53033025302,53033025302,"Census Tract 253.02, King County, Washington",316900,90173
1400000US53033025400,53033025400,"Census Tract 254, King County, Washington",265900,42573
1400000US53033025500,53033025500,"Census Tract 255, King County, Washington",294800,22361
1400000US53033025601,53033025601,"Census Tract 256.01, King County, Washington",342100,21968
1400000US53033025602,53033025602,"Census Tract 256.02, King County, Washington",430300,21021
1400000US53033025701,53033025701,"Census Tract 257.01, King County, Washington",256800,45694
1400000US53033025702,53033025702,"Census Tract 257.02, King County, Washington",317800,15620
1400000US53033025803,53033025803,"Census Tract 258.03, King County, Washington",230000,17117
1400000US53033025804,53033025804,"Census Tract 258.04, King County, Washington",278600,11253
1400000US53033025805,53033025805,"Census Tract 258.05, King County, Washington",231800,44719
1400000US53033025806,53033025806,"Census Tract 258.06, King County, Washington",350600,16806
1400000US53033026001,53033026001,"Census Tract 260.01, King County, Washington",382300,25582
1400000US53033026002,53033026002,"Census Tract 260.02, King County, Washington",287700,31068
1400000US53033026100,53033026100,"Census Tract 261, King County, Washington",297300,33892
1400000US53033026200,53033026200,"Census Tract 262, King County, Washington",224000,41078
1400000US53033026300,53033026300,"Census Tract 263, King County, Washington",282000,24351
1400000US53033026400,53033026400,"Census Tract 264, King County, Washington",238100,23361
1400000US53033026500,53033026500,"Census Tract 265, King County, Washington",286500,31116
1400000US53033026600,53033026600,"Census Tract 266, King County, Washington",323600,24855
1400000US53033026700,53033026700,"Census Tract 267, King County, Washington",381700,32649
1400000US53033026801,53033026801,"Census Tract 268.01, King County, Washington",245400,23950
1400000US53033026802,53033026802,"Census Tract 268.02, King County, Washington",292100,24912
1400000US53033027000,53033027000,"Census Tract 270, King County, Washington",274000,20918
