GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033011401,53033011401,"Census Tract 114.01, King County, Washington",4253,294,2135,310,828,253,29,38,489,155,7,12,395,326,370,164,8,12,362,165
1400000US53033011402,53033011402,"Census Tract 114.02, King County, Washington",4371,220,2344,274,453,225,90,85,567,190,116,94,506,285,295,140,0,12,295,140
1400000US53033011500,53033011500,"Census Tract 115, King County, Washington",4421,264,3479,302,212,139,0,12,403,154,0,12,97,100,230,99,26,28,204,95
1400000US53033011600,53033011600,"Census Tract 116, King County, Washington",6899,449,6146,411,34,36,118,66,210,142,0,17,43,40,348,216,0,17,348,216
1400000US53033011700,53033011700,"Census Tract 117, King County, Washington",5679,389,923,189,1467,329,27,46,2164,371,225,219,108,96,765,442,63,60,702,441
1400000US53033011800,53033011800,"Census Tract 118, King County, Washington",8415,688,2114,517,2602,648,51,52,2046,381,0,17,672,492,930,428,28,42,902,431
1400000US53033011900,53033011900,"Census Tract 119, King County, Washington",7597,632,2201,283,1847,386,106,160,2747,426,281,354,47,55,368,258,0,17,368,258
1400000US53033012000,53033012000,"Census Tract 120, King County, Washington",3615,221,2877,262,260,230,99,101,79,45,23,38,60,85,217,110,30,46,187,98
1400000US53033012100,53033012100,"Census Tract 121, King County, Washington",2663,148,2111,204,98,108,26,25,68,44,117,161,102,89,141,79,1,3,140,79
1400000US53033020100,53033020100,"Census Tract 201, King County, Washington",3172,200,2637,228,105,75,12,19,295,70,0,12,17,20,106,63,19,22,87,62
1400000US53033020200,53033020200,"Census Tract 202, King County, Washington",5189,265,4208,264,73,95,14,23,472,169,0,17,56,75,366,183,0,17,366,183
1400000US53033020300,53033020300,"Census Tract 203, King County, Washington",7065,429,4561,510,584,313,48,75,1247,286,0,17,339,335,286,165,0,17,286,165
1400000US53033020401,53033020401,"Census Tract 204.01, King County, Washington",3592,255,2791,310,174,115,80,53,369,157,0,12,0,12,178,90,0,12,178,90
1400000US53033020402,53033020402,"Census Tract 204.02, King County, Washington",5601,416,4321,395,53,80,3,7,555,154,0,17,284,351,385,204,71,87,314,152
1400000US53033020500,53033020500,"Census Tract 205, King County, Washington",6608,357,4498,470,218,175,134,124,922,228,43,48,485,437,308,140,49,47,259,126
1400000US53033020600,53033020600,"Census Tract 206, King County, Washington",3691,218,2475,226,273,186,35,42,659,136,31,43,70,80,148,83,0,12,148,83
1400000US53033020700,53033020700,"Census Tract 207, King County, Washington",3834,227,2405,303,259,194,8,14,653,220,0,12,351,253,158,90,10,15,148,87
1400000US53033020800,53033020800,"Census Tract 208, King County, Washington",4329,170,3589,200,85,47,20,32,429,61,0,12,10,17,196,145,0,12,196,145
1400000US53033020900,53033020900,"Census Tract 209, King County, Washington",3664,288,2552,363,374,302,7,11,462,133,13,34,99,90,157,95,0,12,157,95
1400000US53033021000,53033021000,"Census Tract 210, King County, Washington",5842,393,3562,211,720,342,244,217,903,227,31,44,45,53,337,239,18,42,319,210
1400000US53033021100,53033021100,"Census Tract 211, King County, Washington",4562,435,2565,282,478,140,6,13,788,220,5,12,307,253,413,186,92,129,321,155
1400000US53033021300,53033021300,"Census Tract 213, King County, Washington",4114,330,3000,363,208,150,0,12,617,145,0,12,75,120,214,134,45,36,169,113
1400000US53033021400,53033021400,"Census Tract 214, King County, Washington",3956,265,3278,278,58,46,15,25,223,97,11,19,0,12,371,158,0,12,371,158
1400000US53033021500,53033021500,"Census Tract 215, King County, Washington",4365,293,3607,295,117,64,3,6,407,113,9,15,14,19,208,118,1,3,207,119
1400000US53033021600,53033021600,"Census Tract 216, King County, Washington",5005,246,3863,282,109,72,8,12,496,160,73,60,121,89,335,122,41,46,294,113
1400000US53033021700,53033021700,"Census Tract 217, King County, Washington",8831,394,6610,478,233,144,47,43,1161,296,27,29,246,208,507,263,0,17,507,263
1400000US53033021802,53033021802,"Census Tract 218.02, King County, Washington",5539,286,3979,316,44,71,79,135,1160,249,0,17,181,183,96,62,0,17,96,62
1400000US53033021803,53033021803,"Census Tract 218.03, King County, Washington",4904,361,3562,284,240,125,6,9,493,157,0,12,182,121,421,166,52,47,369,159
1400000US53033021804,53033021804,"Census Tract 218.04, King County, Washington",5097,348,3799,284,178,134,17,26,459,135,0,17,363,240,281,159,15,30,266,153
1400000US53033021903,53033021903,"Census Tract 219.03, King County, Washington",6153,507,4887,579,203,168,61,53,645,278,0,17,60,47,297,174,103,97,194,134
1400000US53033021904,53033021904,"Census Tract 219.04, King County, Washington",4969,213,3023,254,71,66,0,12,1404,190,0,12,169,106,302,136,9,14,293,135
1400000US53033021905,53033021905,"Census Tract 219.05, King County, Washington",5588,377,4471,413,5,7,0,17,640,153,0,17,309,361,163,92,16,26,147,87
1400000US53033021906,53033021906,"Census Tract 219.06, King County, Washington",4259,207,3118,279,92,81,6,11,555,138,0,12,147,119,341,152,0,12,341,152
1400000US53033022001,53033022001,"Census Tract 220.01, King County, Washington",5376,335,4055,374,34,48,15,27,535,175,49,77,138,176,550,247,0,17,550,247
1400000US53033022003,53033022003,"Census Tract 220.03, King County, Washington",4831,407,3379,375,74,57,21,26,734,211,11,19,194,248,418,167,37,39,381,157
1400000US53033022005,53033022005,"Census Tract 220.05, King County, Washington",5076,301,3588,296,68,59,81,126,1019,227,0,17,86,73,234,139,0,17,234,139
1400000US53033022006,53033022006,"Census Tract 220.06, King County, Washington",4085,351,3347,363,27,29,0,12,515,103,0,12,15,17,181,84,0,12,181,84
1400000US53033022101,53033022101,"Census Tract 221.01, King County, Washington",4662,240,4014,239,67,77,13,18,429,89,0,12,10,13,129,77,0,12,129,77
1400000US53033022102,53033022102,"Census Tract 221.02, King County, Washington",6461,320,4984,312,1,4,9,15,1121,231,0,17,107,88,239,129,15,27,224,115
1400000US53033022201,53033022201,"Census Tract 222.01, King County, Washington",4431,306,3558,268,97,81,0,12,377,135,5,8,89,73,305,139,14,17,291,131
1400000US53033022202,53033022202,"Census Tract 222.02, King County, Washington",7245,560,5465,667,53,42,0,17,1149,279,0,17,232,157,346,194,0,17,346,194
1400000US53033022203,53033022203,"Census Tract 222.03, King County, Washington",5038,262,4221,269,47,46,0,17,547,121,0,17,32,30,191,87,0,17,191,87
1400000US53033022300,53033022300,"Census Tract 223, King County, Washington",2647,221,2246,229,17,20,0,12,205,85,0,12,57,63,122,78,0,12,122,78
1400000US53033022400,53033022400,"Census Tract 224, King County, Washington",8459,613,7017,533,25,29,27,44,876,245,0,17,49,65,465,263,14,22,451,260
1400000US53033022500,53033022500,"Census Tract 225, King County, Washington",8438,357,7023,387,0,17,57,49,839,213,0,17,109,109,410,180,0,17,410,180
1400000US53033022603,53033022603,"Census Tract 226.03, King County, Washington",5691,430,3869,427,60,55,31,51,1203,248,0,17,181,260,347,197,21,27,326,197
1400000US53033022604,53033022604,"Census Tract 226.04, King County, Washington",4895,332,3741,330,0,12,0,12,816,136,15,24,0,12,323,189,15,24,308,191
1400000US53033022605,53033022605,"Census Tract 226.05, King County, Washington",6217,422,3987,610,117,188,0,17,1620,360,0,17,346,271,147,115,0,17,147,115
1400000US53033022606,53033022606,"Census Tract 226.06, King County, Washington",5653,391,4065,441,75,81,18,29,1345,265,0,17,50,47,100,82,0,17,100,82
1400000US53033022701,53033022701,"Census Tract 227.01, King County, Washington",2923,272,2234,230,65,57,0,12,433,183,0,12,9,14,182,152,10,16,172,151
1400000US53033022702,53033022702,"Census Tract 227.02, King County, Washington",4153,292,3454,298,39,33,4,7,386,109,29,43,14,17,227,106,0,12,227,106
1400000US53033022703,53033022703,"Census Tract 227.03, King County, Washington",2392,190,1780,153,96,95,0,12,416,94,0,12,1,4,99,53,0,12,99,53
1400000US53033022801,53033022801,"Census Tract 228.01, King County, Washington",8719,622,3659,562,426,334,41,54,4285,677,0,17,45,73,263,147,66,62,197,123
1400000US53033022802,53033022802,"Census Tract 228.02, King County, Washington",5030,272,3305,231,70,61,0,17,1475,272,3,6,27,32,150,64,0,17,150,64
1400000US53033022803,53033022803,"Census Tract 228.03, King County, Washington",5556,422,2130,343,49,49,16,26,2842,399,109,127,108,128,302,152,0,17,302,152
1400000US53033022901,53033022901,"Census Tract 229.01, King County, Washington",2963,237,2008,263,52,54,0,12,825,128,0,12,0,12,78,57,0,12,78,57
1400000US53033022902,53033022902,"Census Tract 229.02, King County, Washington",6490,454,4133,363,65,99,0,17,2044,341,0,17,43,45,205,117,30,34,175,114
1400000US53033023000,53033023000,"Census Tract 230, King County, Washington",5179,275,3865,344,111,76,22,23,882,247,1,3,64,50,234,95,18,27,216,90
1400000US53033023100,53033023100,"Census Tract 231, King County, Washington",4046,239,2548,249,89,98,0,12,1094,206,0,12,83,111,232,119,20,29,212,119
1400000US53033023201,53033023201,"Census Tract 232.01, King County, Washington",6885,650,2359,402,56,53,5,11,4200,665,0,17,27,30,238,168,113,119,125,106
1400000US53033023202,53033023202,"Census Tract 232.02, King County, Washington",4605,350,2393,377,487,243,13,19,1342,233,0,12,206,145,164,109,0,12,164,109
1400000US53033023300,53033023300,"Census Tract 233, King County, Washington",6534,477,4870,522,6,16,69,103,1193,247,0,17,259,265,137,111,65,87,72,65
1400000US53033023401,53033023401,"Census Tract 234.01, King County, Washington",3821,262,2118,229,92,62,22,35,1306,201,23,30,18,15,242,109,0,12,242,109
1400000US53033023403,53033023403,"Census Tract 234.03, King County, Washington",4119,270,2877,219,15,22,0,12,974,231,15,24,11,16,227,116,48,53,179,89
1400000US53033023404,53033023404,"Census Tract 234.04, King County, Washington",3436,245,2961,219,16,19,0,12,343,100,0,12,19,20,97,76,22,33,75,60
1400000US53033023500,53033023500,"Census Tract 235, King County, Washington",3740,247,2201,209,108,77,10,16,1151,190,0,12,26,40,244,101,0,12,244,101
1400000US53033023601,53033023601,"Census Tract 236.01, King County, Washington",4042,229,2212,328,257,123,13,20,1227,351,0,12,17,26,316,181,2,14,314,186
1400000US53033023603,53033023603,"Census Tract 236.03, King County, Washington",6657,499,2993,558,98,79,0,17,3162,589,0,17,200,240,204,248,0,17,204,248
1400000US53033023604,53033023604,"Census Tract 236.04, King County, Washington",6744,493,3126,449,410,205,17,26,1917,372,217,198,766,532,291,211,61,78,230,205
1400000US53033023700,53033023700,"Census Tract 237, King County, Washington",4322,209,2832,227,71,51,0,12,1094,141,0,12,72,54,253,138,61,64,192,118
1400000US53033023801,53033023801,"Census Tract 238.01, King County, Washington",2749,246,1489,253,13,17,0,12,1013,206,117,169,13,14,104,55,11,17,93,52
1400000US53033023803,53033023803,"Census Tract 238.03, King County, Washington",5319,507,2492,279,97,68,0,17,2426,453,0,17,22,36,282,157,0,17,282,157
1400000US53033023804,53033023804,"Census Tract 238.04, King County, Washington",6841,530,3668,483,305,212,17,26,2604,483,0,17,17,27,230,137,48,56,182,122
1400000US53033023900,53033023900,"Census Tract 239, King County, Washington",7179,646,5320,616,114,112,15,34,1368,242,0,17,24,26,338,192,0,17,338,192
1400000US53033024000,53033024000,"Census Tract 240, King County, Washington",7817,443,4790,474,0,17,0,17,2240,354,0,17,72,86,715,225,49,46,666,224
1400000US53033024100,53033024100,"Census Tract 241, King County, Washington",4838,118,3763,128,30,29,8,10,845,92,0,12,5,4,187,64,1,2,186,64
1400000US53033024200,53033024200,"Census Tract 242, King County, Washington",3212,37,2347,155,20,22,0,12,635,125,0,12,18,25,192,85,0,12,192,85
1400000US53033024300,53033024300,"Census Tract 243, King County, Washington",8680,382,6115,414,289,209,0,17,1913,401,17,27,90,92,256,140,0,17,256,140
1400000US53033024400,53033024400,"Census Tract 244, King County, Washington",2913,182,2240,193,69,68,0,12,499,113,0,12,18,21,87,71,20,21,67,68
1400000US53033024500,53033024500,"Census Tract 245, King County, Washington",4935,225,3683,218,43,43,7,11,862,166,0,12,43,51,297,124,8,13,289,123
1400000US53033024601,53033024601,"Census Tract 246.01, King County, Washington",4477,193,3535,217,1,3,1,2,724,102,0,12,1,3,215,116,0,12,215,116
1400000US53033024602,53033024602,"Census Tract 246.02, King County, Washington",3763,196,2981,232,45,46,0,12,685,164,0,12,0,12,52,39,0,12,52,39
1400000US53033024701,53033024701,"Census Tract 247.01, King County, Washington",3992,442,2274,480,291,276,9,14,1174,249,13,22,65,100,166,96,36,44,130,90
1400000US53033024702,53033024702,"Census Tract 247.02, King County, Washington",7528,372,4839,511,384,191,0,17,1944,294,0,17,136,168,225,156,0,17,225,156
1400000US53033024800,53033024800,"Census Tract 248, King County, Washington",5964,454,2581,458,438,365,96,86,1625,400,0,17,557,390,667,344,22,34,645,334
1400000US53033024901,53033024901,"Census Tract 249.01, King County, Washington",5084,194,2574,314,25,24,10,15,2236,317,0,17,0,17,239,119,0,17,239,119
1400000US53033024902,53033024902,"Census Tract 249.02, King County, Washington",4043,197,2300,207,82,56,0,12,1214,181,0,12,21,22,426,159,63,62,363,139
1400000US53033024903,53033024903,"Census Tract 249.03, King County, Washington",7146,334,3857,376,6,10,0,17,3113,414,0,17,14,24,156,103,0,17,156,103
1400000US53033025001,53033025001,"Census Tract 250.01, King County, Washington",5106,318,3339,303,139,123,23,23,1284,227,0,17,113,89,208,81,25,31,183,79
1400000US53033025003,53033025003,"Census Tract 250.03, King County, Washington",6856,455,4434,450,80,64,0,17,2098,339,28,33,95,97,121,72,0,17,121,72
1400000US53033025005,53033025005,"Census Tract 250.05, King County, Washington",4962,321,2898,259,54,50,0,12,1637,194,0,12,54,46,319,111,29,45,290,111
1400000US53033025006,53033025006,"Census Tract 250.06, King County, Washington",6068,525,3986,357,296,406,0,17,1614,283,0,17,14,23,158,91,0,17,158,91
1400000US53033025101,53033025101,"Census Tract 251.01, King County, Washington",6507,506,3665,408,458,260,0,17,1341,562,18,28,641,485,384,260,0,17,384,260
1400000US53033025102,53033025102,"Census Tract 251.02, King County, Washington",7878,433,3834,503,415,204,124,185,2452,530,29,48,184,185,840,301,112,142,728,250
1400000US53033025200,53033025200,"Census Tract 252, King County, Washington",8588,427,5185,448,525,181,45,40,1774,295,47,57,523,361,489,236,58,95,431,227
1400000US53033025301,53033025301,"Census Tract 253.01, King County, Washington",6525,495,3748,429,487,290,26,35,1307,375,0,17,453,352,504,190,11,18,493,188
1400000US53033025302,53033025302,"Census Tract 253.02, King County, Washington",5360,506,2714,437,903,298,13,20,715,241,271,372,497,394,247,168,20,31,227,163
1400000US53033025400,53033025400,"Census Tract 254, King County, Washington",7592,575,3961,563,665,418,83,110,1234,515,0,17,1102,608,547,323,45,72,502,319
1400000US53033025500,53033025500,"Census Tract 255, King County, Washington",4957,330,2538,348,467,133,31,33,988,163,0,12,845,312,88,64,19,30,69,57
1400000US53033025601,53033025601,"Census Tract 256.01, King County, Washington",5457,422,2069,317,257,114,0,17,1559,193,231,342,863,367,478,210,182,156,296,138
1400000US53033025602,53033025602,"Census Tract 256.02, King County, Washington",6153,330,3804,299,140,138,12,19,1732,250,0,17,95,85,370,202,104,127,266,160
1400000US53033025701,53033025701,"Census Tract 257.01, King County, Washington",6004,394,3391,401,840,191,57,68,841,274,125,112,189,221,561,232,0,17,561,232
1400000US53033025702,53033025702,"Census Tract 257.02, King County, Washington",3510,171,2179,177,337,104,0,12,791,127,46,72,30,31,127,73,4,18,123,72
1400000US53033025803,53033025803,"Census Tract 258.03, King County, Washington",4719,447,2565,400,450,149,17,19,476,167,53,54,716,346,442,221,36,35,406,206
