GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",4728,275,1579,257,3149,355
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",1389,104,669,70,720,110
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",2299,71,1278,159,1021,149
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",5035,265,1487,250,3548,338
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",2883,201,532,134,2351,215
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",5974,268,850,235,5124,310
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",4291,228,490,130,3801,240
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",3654,170,776,119,2878,206
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",3529,203,751,183,2778,248
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",5753,169,938,244,4815,285
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",2180,92,757,138,1423,149
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",2377,130,1399,181,978,177
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",2291,87,1680,197,611,193
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",3313,146,1005,169,2308,195
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",4507,332,1184,263,3323,394
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",2479,169,501,112,1978,181
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",2748,199,635,136,2113,201
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",2810,199,436,103,2374,206
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",2103,120,540,85,1563,110
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",3108,242,372,119,2736,262
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",1928,89,181,88,1747,94
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",2042,158,369,105,1673,176
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",1899,92,694,115,1205,128
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",1642,57,907,98,735,93
1400000US53033008900,53033008900,"Census Tract 89, King County, Washington",2380,131,1098,171,1282,195
1400000US53033009000,53033009000,"Census Tract 90, King County, Washington",1833,84,449,87,1384,104
1400000US53033009100,53033009100,"Census Tract 91, King County, Washington",1527,133,94,42,1433,135
1400000US53033009200,53033009200,"Census Tract 92, King County, Washington",1892,105,111,48,1781,98
1400000US53033009300,53033009300,"Census Tract 93, King County, Washington",1141,69,580,68,561,77
1400000US53033009400,53033009400,"Census Tract 94, King County, Washington",2696,160,1060,146,1636,207
1400000US53033009500,53033009500,"Census Tract 95, King County, Washington",2708,107,1943,172,765,171
1400000US53033009600,53033009600,"Census Tract 96, King County, Washington",2789,198,1442,178,1347,193
1400000US53033009701,53033009701,"Census Tract 97.01, King County, Washington",3099,121,1704,175,1395,202
