GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033022801,53033022801,"Census Tract 228.01, King County, Washington",9418,495,5155,606,221,179,0,119,3554,563,0,119,258,216,230,135,0,119,230,135
1400000US53033022802,53033022802,"Census Tract 228.02, King County, Washington",4189,246,2978,274,47,54,64,55,971,248,0,119,0,119,129,82,0,119,129,82
1400000US53033022803,53033022803,"Census Tract 228.03, King County, Washington",5316,705,3185,604,399,367,0,119,1483,522,0,119,217,193,32,33,0,119,32,33
1400000US53033022901,53033022901,"Census Tract 229.01, King County, Washington",3397,362,2662,419,0,119,19,31,574,217,0,119,39,66,103,49,0,119,103,49
1400000US53033022902,53033022902,"Census Tract 229.02, King County, Washington",5699,372,4541,371,0,119,27,32,945,211,12,20,38,46,136,86,0,119,136,86
1400000US53033023000,53033023000,"Census Tract 230, King County, Washington",5332,376,3955,367,67,109,0,119,960,321,0,119,139,180,211,114,44,54,167,108
1400000US53033023100,53033023100,"Census Tract 231, King County, Washington",3769,373,2768,390,168,169,8,14,634,152,0,119,20,22,171,119,0,119,171,119
1400000US53033023201,53033023201,"Census Tract 232.01, King County, Washington",5892,495,2755,345,371,186,0,119,2358,412,37,50,179,241,192,147,0,119,192,147
1400000US53033023202,53033023202,"Census Tract 232.02, King County, Washington",4216,425,2692,458,128,139,25,56,884,250,0,119,307,178,180,151,0,119,180,151
1400000US53033023300,53033023300,"Census Tract 233, King County, Washington",5974,470,4520,462,158,125,12,19,643,212,109,135,146,132,386,306,110,100,276,275
1400000US53033023401,53033023401,"Census Tract 234.01, King County, Washington",3550,309,2389,307,150,194,0,119,793,153,0,119,117,129,101,129,0,119,101,129
1400000US53033023402,53033023402,"Census Tract 234.02, King County, Washington",6894,306,5779,360,0,119,29,35,998,263,0,119,0,119,88,66,0,119,88,66
1400000US53033023500,53033023500,"Census Tract 235, King County, Washington",3650,305,2543,221,47,50,7,13,794,192,0,119,81,82,178,173,16,24,162,171
1400000US53033023601,53033023601,"Census Tract 236.01, King County, Washington",3623,367,2829,386,41,35,0,119,608,229,0,119,74,85,71,54,0,119,71,54
1400000US53033023603,53033023603,"Census Tract 236.03, King County, Washington",6570,528,3431,539,288,157,31,61,1801,498,19,31,706,419,294,141,0,119,294,141
1400000US53033023604,53033023604,"Census Tract 236.04, King County, Washington",5809,496,4119,577,266,190,23,38,1052,223,60,61,120,122,169,119,20,32,149,113
1400000US53033023700,53033023700,"Census Tract 237, King County, Washington",4111,311,3101,407,20,35,12,19,882,307,0,119,0,119,96,74,0,119,96,74
1400000US53033023801,53033023801,"Census Tract 238.01, King County, Washington",2680,289,2140,309,0,119,0,119,282,107,11,18,98,162,149,145,0,119,149,145
1400000US53033023802,53033023802,"Census Tract 238.02, King County, Washington",4693,320,3322,310,32,37,12,20,1240,219,0,119,0,119,87,69,0,119,87,69
1400000US53033023900,53033023900,"Census Tract 239, King County, Washington",6897,338,5953,410,121,107,31,33,537,135,54,98,40,44,161,96,0,119,161,96
1400000US53033024000,53033024000,"Census Tract 240, King County, Washington",6898,563,5635,557,0,119,19,30,1055,298,0,119,31,47,158,118,0,119,158,118
1400000US53033024100,53033024100,"Census Tract 241, King County, Washington",4254,146,3751,173,0,119,0,119,368,113,0,119,64,64,71,39,4,7,67,38
1400000US53033024200,53033024200,"Census Tract 242, King County, Washington",3116,31,2734,140,0,119,0,119,255,113,0,119,46,50,81,57,0,119,81,57
1400000US53033024300,53033024300,"Census Tract 243, King County, Washington",6939,342,5424,401,60,47,0,119,1158,266,0,119,15,25,282,135,0,119,282,135
1400000US53033024400,53033024400,"Census Tract 244, King County, Washington",3354,323,2502,311,0,119,52,78,527,179,30,69,19,30,224,104,0,119,224,104
1400000US53033024500,53033024500,"Census Tract 245, King County, Washington",5008,250,4010,264,54,67,8,13,740,155,0,119,12,21,184,119,32,49,152,115
1400000US53033024601,53033024601,"Census Tract 246.01, King County, Washington",4621,223,4025,288,28,32,0,119,449,243,0,119,43,69,76,63,30,48,46,48
1400000US53033024602,53033024602,"Census Tract 246.02, King County, Washington",3869,149,3229,205,58,74,0,119,424,107,0,119,12,18,146,93,14,22,132,91
1400000US53033024701,53033024701,"Census Tract 247.01, King County, Washington",3517,250,2540,255,0,119,0,119,719,156,0,119,99,100,159,85,13,21,146,83
1400000US53033024702,53033024702,"Census Tract 247.02, King County, Washington",6829,459,4847,466,66,86,35,40,1639,368,51,55,25,28,166,98,0,119,166,98
1400000US53033024800,53033024800,"Census Tract 248, King County, Washington",5296,427,3250,350,101,89,14,24,1657,351,0,119,14,23,260,149,0,119,260,149
1400000US53033024901,53033024901,"Census Tract 249.01, King County, Washington",5563,284,3465,229,0,119,23,35,1835,301,0,119,0,119,240,121,0,119,240,121
1400000US53033024902,53033024902,"Census Tract 249.02, King County, Washington",3987,359,2605,361,118,103,27,41,1139,213,0,119,0,119,98,86,0,119,98,86
1400000US53033024903,53033024903,"Census Tract 249.03, King County, Washington",6685,393,3777,394,61,69,0,119,2589,375,0,119,0,119,258,161,0,119,258,161
1400000US53033025001,53033025001,"Census Tract 250.01, King County, Washington",4530,302,3352,306,14,19,0,119,926,136,0,119,196,99,42,40,0,119,42,40
1400000US53033025003,53033025003,"Census Tract 250.03, King County, Washington",7023,506,5176,513,18,31,0,119,1556,350,0,119,0,119,273,131,28,32,245,126
1400000US53033025004,53033025004,"Census Tract 250.04, King County, Washington",8366,565,5493,607,368,281,0,119,2005,436,0,119,50,61,450,228,49,65,401,189
1400000US53033025101,53033025101,"Census Tract 251.01, King County, Washington",5091,409,3051,434,293,212,77,121,997,387,0,119,344,303,329,243,64,75,265,225
1400000US53033025102,53033025102,"Census Tract 251.02, King County, Washington",6086,428,3464,413,304,213,48,63,1782,304,0,119,277,152,211,115,44,67,167,102
1400000US53033025200,53033025200,"Census Tract 252, King County, Washington",7709,637,5049,428,721,383,55,64,1397,288,0,119,341,414,146,92,0,119,146,92
1400000US53033025300,53033025300,"Census Tract 253, King County, Washington",8375,686,5026,467,850,209,121,85,994,249,0,119,1041,689,343,183,28,26,315,178
1400000US53033025400,53033025400,"Census Tract 254, King County, Washington",5973,446,3615,481,779,346,33,47,767,272,0,119,335,247,444,198,53,65,391,176
1400000US53033025500,53033025500,"Census Tract 255, King County, Washington",4343,466,2511,383,367,166,0,119,741,160,39,61,601,361,84,67,0,119,84,67
1400000US53033025600,53033025600,"Census Tract 256, King County, Washington",9244,469,5566,440,480,207,0,119,2083,360,105,158,552,330,458,163,33,53,425,158
1400000US53033025701,53033025701,"Census Tract 257.01, King County, Washington",5449,569,3864,421,817,525,96,135,519,185,11,18,95,121,47,47,12,21,35,42
1400000US53033025702,53033025702,"Census Tract 257.02, King County, Washington",3391,341,2442,390,213,136,0,119,654,243,0,119,52,76,30,38,8,13,22,36
1400000US53033025801,53033025801,"Census Tract 258.01, King County, Washington",8568,566,4671,518,1227,548,35,40,1561,354,68,74,498,300,508,285,64,70,444,261
1400000US53033025803,53033025803,"Census Tract 258.03, King County, Washington",4826,462,2726,301,1061,410,62,75,197,156,306,286,361,329,113,68,0,119,113,68
1400000US53033025804,53033025804,"Census Tract 258.04, King County, Washington",3988,389,2399,274,311,159,28,45,670,210,0,119,318,326,262,289,35,49,227,281
