GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",448500,45964
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",454900,31280
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",792300,105506
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",343000,53138
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",386300,33703
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",731000,323237
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",437400,56849
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",253200,42743
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",480700,134877
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",404700,52049
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",286900,57687
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",371700,255520
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",474900,33956
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",409500,27855
1400000US53033008900,53033008900,"Census Tract 89, King County, Washington",482600,85268
1400000US53033009000,53033009000,"Census Tract 90, King County, Washington",245500,126369
1400000US53033009100,53033009100,"Census Tract 91, King County, Washington",360300,17459
1400000US53033009200,53033009200,"Census Tract 92, King County, Washington",635400,759807
1400000US53033009300,53033009300,"Census Tract 93, King County, Washington",398800,34104
1400000US53033009400,53033009400,"Census Tract 94, King County, Washington",290000,24327
1400000US53033009500,53033009500,"Census Tract 95, King County, Washington",533100,77179
1400000US53033009600,53033009600,"Census Tract 96, King County, Washington",585700,48249
1400000US53033009701,53033009701,"Census Tract 97.01, King County, Washington",566200,66064
1400000US53033009702,53033009702,"Census Tract 97.02, King County, Washington",454600,18864
1400000US53033009800,53033009800,"Census Tract 98, King County, Washington",480200,39743
1400000US53033009900,53033009900,"Census Tract 99, King County, Washington",401700,40818
1400000US53033010000,53033010000,"Census Tract 100, King County, Washington",363100,18016
1400000US53033010100,53033010100,"Census Tract 101, King County, Washington",379300,21070
1400000US53033010200,53033010200,"Census Tract 102, King County, Washington",456400,30783
1400000US53033010300,53033010300,"Census Tract 103, King County, Washington",348600,27602
1400000US53033010400,53033010400,"Census Tract 104, King County, Washington",356600,18261
1400000US53033010500,53033010500,"Census Tract 105, King County, Washington",420600,25838
1400000US53033010600,53033010600,"Census Tract 106, King County, Washington",449400,31858
1400000US53033010700,53033010700,"Census Tract 107, King County, Washington",344700,34397
1400000US53033010800,53033010800,"Census Tract 108, King County, Washington",330300,29422
1400000US53033010900,53033010900,"Census Tract 109, King County, Washington",350000,41785
1400000US53033011000,53033011000,"Census Tract 110, King County, Washington",327600,17522
1400000US53033011101,53033011101,"Census Tract 111.01, King County, Washington",242700,18267
1400000US53033011102,53033011102,"Census Tract 111.02, King County, Washington",426800,46247
1400000US53033011200,53033011200,"Census Tract 112, King County, Washington",251700,22866
1400000US53033011300,53033011300,"Census Tract 113, King County, Washington",313600,24502
1400000US53033011400,53033011400,"Census Tract 114, King County, Washington",294400,26239
1400000US53033011500,53033011500,"Census Tract 115, King County, Washington",358300,10533
1400000US53033011600,53033011600,"Census Tract 116, King County, Washington",494300,25177
1400000US53033011700,53033011700,"Census Tract 117, King County, Washington",326000,25905
1400000US53033011800,53033011800,"Census Tract 118, King County, Washington",340800,26471
1400000US53033011900,53033011900,"Census Tract 119, King County, Washington",322600,24522
1400000US53033012000,53033012000,"Census Tract 120, King County, Washington",358100,20081
1400000US53033012100,53033012100,"Census Tract 121, King County, Washington",494000,61585
1400000US53033020100,53033020100,"Census Tract 201, King County, Washington",512500,49521
1400000US53033020200,53033020200,"Census Tract 202, King County, Washington",423700,21949
1400000US53033020300,53033020300,"Census Tract 203, King County, Washington",355300,15882
1400000US53033020401,53033020401,"Census Tract 204.01, King County, Washington",330700,13854
1400000US53033020402,53033020402,"Census Tract 204.02, King County, Washington",362400,26141
1400000US53033020500,53033020500,"Census Tract 205, King County, Washington",337500,12442
1400000US53033020600,53033020600,"Census Tract 206, King County, Washington",350700,14956
1400000US53033020700,53033020700,"Census Tract 207, King County, Washington",348100,14769
1400000US53033020800,53033020800,"Census Tract 208, King County, Washington",433500,32460
1400000US53033020900,53033020900,"Census Tract 209, King County, Washington",353100,28997
1400000US53033021000,53033021000,"Census Tract 210, King County, Washington",345400,17664
1400000US53033021100,53033021100,"Census Tract 211, King County, Washington",335400,13558
1400000US53033021300,53033021300,"Census Tract 213, King County, Washington",393400,48366
1400000US53033021400,53033021400,"Census Tract 214, King County, Washington",448400,23930
1400000US53033021500,53033021500,"Census Tract 215, King County, Washington",471800,19490
1400000US53033021600,53033021600,"Census Tract 216, King County, Washington",403200,19245
1400000US53033021700,53033021700,"Census Tract 217, King County, Washington",368000,32113
1400000US53033021802,53033021802,"Census Tract 218.02, King County, Washington",345000,27792
1400000US53033021803,53033021803,"Census Tract 218.03, King County, Washington",378900,14335
1400000US53033021804,53033021804,"Census Tract 218.04, King County, Washington",427400,23615
1400000US53033021903,53033021903,"Census Tract 219.03, King County, Washington",369900,25107
1400000US53033021904,53033021904,"Census Tract 219.04, King County, Washington",390500,30232
