GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",3140,177,943,140,2197,182
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",3610,137,2041,226,1569,216
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1058,73,803,102,255,89
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",2747,196,921,159,1826,214
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",2250,113,1010,156,1240,187
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",1374,44,1349,48,25,28
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",3374,126,2168,215,1206,233
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2271,128,798,147,1473,177
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1093,30,839,78,254,77
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",889,52,633,69,256,79
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",770,74,512,93,258,71
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",1089,61,663,72,426,76
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",3417,115,831,175,2586,172
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",2236,71,618,169,1618,169
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",2088,185,1284,138,804,141
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",1095,52,939,70,156,53
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",1881,26,1508,96,373,94
1400000US53033001700,53033001700,"Census Tract 17, King County, Washington",3775,200,1985,202,1790,219
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",2012,194,700,171,1312,204
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",1658,68,1186,115,472,115
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",1552,91,1158,113,394,95
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",1619,116,1176,122,443,99
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",2131,90,1799,114,332,124
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",1266,95,888,86,378,86
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",1248,50,911,98,337,93
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",1944,91,1418,103,526,116
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",2212,135,1561,167,651,152
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",2131,116,1280,157,851,195
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",1855,98,1393,116,462,109
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",2571,38,1917,145,654,145
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",2627,109,2256,150,371,136
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",3980,129,2064,183,1916,195
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",2805,201,1275,159,1530,223
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",1483,80,1084,97,399,97
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",1885,70,1055,108,830,119
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",3015,164,1065,159,1950,207
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",837,51,709,66,128,56
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",1222,23,900,64,322,72
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",1207,76,954,105,253,85
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",3342,127,2222,145,1120,171
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",3292,83,2276,169,1016,164
1400000US53033004300,53033004300,"Census Tract 43, King County, Washington",2848,145,830,135,2018,172
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",2384,122,734,103,1650,148
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",989,67,588,105,401,101
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",1468,74,1069,110,399,107
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",3291,179,921,174,2370,217
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",2201,106,1352,189,849,165
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",3529,193,922,172,2607,230
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",1812,117,565,83,1247,141
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",1666,88,904,105,762,122
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",2717,153,712,151,2005,179
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",2335,167,38,31,2297,168
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",140,37,16,19,124,38
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",2475,176,1016,156,1459,196
1400000US53033005600,53033005600,"Census Tract 56, King County, Washington",2792,88,2480,153,312,141
1400000US53033005700,53033005700,"Census Tract 57, King County, Washington",2915,79,2126,157,789,154
1400000US53033005801,53033005801,"Census Tract 58.01, King County, Washington",2722,140,1063,147,1659,179
1400000US53033005802,53033005802,"Census Tract 58.02, King County, Washington",2603,147,1165,163,1438,185
1400000US53033005900,53033005900,"Census Tract 59, King County, Washington",2626,99,1568,153,1058,167
1400000US53033006000,53033006000,"Census Tract 60, King County, Washington",2477,135,1265,164,1212,179
1400000US53033006100,53033006100,"Census Tract 61, King County, Washington",2732,163,1191,178,1541,211
1400000US53033006200,53033006200,"Census Tract 62, King County, Washington",1587,66,1407,98,180,75
1400000US53033006300,53033006300,"Census Tract 63, King County, Washington",2871,124,1812,177,1059,186
1400000US53033006400,53033006400,"Census Tract 64, King County, Washington",1283,53,937,70,346,72
1400000US53033006500,53033006500,"Census Tract 65, King County, Washington",2122,146,1071,119,1051,153
1400000US53033006600,53033006600,"Census Tract 66, King County, Washington",2123,152,628,121,1495,164
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",3736,221,1473,207,2263,246
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",1207,67,703,78,504,93
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",2066,142,1248,137,818,154
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",4659,268,1101,225,3558,261
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",2057,127,519,109,1538,182
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",2833,159,197,63,2636,152
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",2216,169,78,48,2138,172
1400000US53033007400,53033007400,"Census Tract 74, King County, Washington",6340,293,1391,256,4949,322
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",3717,208,496,129,3221,196
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",1940,105,685,128,1255,163
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",2037,149,1285,150,752,149
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",2073,155,1791,128,282,124
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",2829,151,643,142,2186,189
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",3836,228,1243,204,2593,246
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",2228,177,387,137,1841,183
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",2452,197,597,122,1855,216
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",1937,182,302,91,1635,185
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",1732,191,419,102,1313,183
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",3098,139,472,95,2626,157
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",1451,115,67,48,1384,117
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",1580,126,173,67,1407,125
